,name,wikipedia_name,lat,lon,page,geovirus_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
75,Weybridge,Weybridge,51.36,-0.45,https://en.wikipedia.org/wiki/Weybridge,"Weybridge 51.36,-0.45",Weybridge ," 51.36 , -0.45 "," 51.366666666667 , -0.46666666666667","Weybridge 51.36,-0.45","[(51.37178, -0.45975), (51.37178, -0.45975), (51.37178, -0.45975)]",0.7441926329369173
76,Tulungagung,Tulungagung Regency,-8.06,111.9,https://en.wikipedia.org/wiki/Tulungagung_Regency,"Tulungagung Regency -8.06,111.9",Tulungagung Regency ," -8.06 , 111.9 "," -8.0666666666667 , 111.9","Tulungagung Regency -8.06,111.9","[(-8.0657, 111.9025)]",0.2954817502571554
77,East Java,East Java,-7.26,112.75,https://en.wikipedia.org/wiki/East_Java,"East Java -7.26,112.75",East Java ," -7.26 , 112.75 "," -7.9391666666667 , 112.95277777778","East Java -7.26,112.75",[],
78,Hong Kong,Hong Kong,22.3,114.2,https://en.wikipedia.org/wiki/Hong_Kong,"Hong Kong 22.3,114.2",Hong Kong ," 22.3 , 114.2 "," 22.278333333333 , 114.15861111111","Hong Kong 22.3,114.2","[(22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769), (22.28552, 114.15769)]",0.8047224868623994
79,Indonesia,Indonesia,-5,120,https://en.wikipedia.org/wiki/Indonesia,"Indonesia -5,120",Indonesia ," -5 , 120 "," -2.0 , 118.0","Indonesia -5,120","[(-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0), (-5.0, 120.0)]",400.6754043001542
80,Jakarta,Jakarta,-6.2,106.81,https://en.wikipedia.org/wiki/Jakarta,"Jakarta -6.2,106.81",Jakarta ," -6.2 , 106.81 "," -6.21462 , 106.84513","Jakarta -6.2,106.81","[(-6.2182, 106.8584), (-6.2182, 106.8584), (-6.2182, 106.8584)]",1.5199376864235703
81,Fujian,Fujian,25.9,118.3,https://en.wikipedia.org/wiki/Fujian,"Fujian 25.9,118.3",Fujian ," 25.9 , 118.3 "," 25.9 , 118.3","Fujian 25.9,118.3","[(26.25, 118.0)]",49.1164451454183
82,China,China,35,103,https://en.wikipedia.org/wiki/China,"China 35,103",China ," 35 , 103 "," 35.0 , 103.0","China 35,103","[(35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0), (42.53395, -78.42307), (42.53395, -78.42307), (35.0, 105.0), (35.0, 105.0), (35.0, 105.0)]",182.1683173121467
83,People's Republic of China,China,35,103,https://en.wikipedia.org/wiki/China,"China 35,103",China ," 35 , 103 "," 35.0 , 103.0","China 35,103","[(35.0, 105.0), (35.0, 105.0)]",182.1683173121467
84,Wales,Wales,52.3,-3.6,https://en.wikipedia.org/wiki/Wales,"Wales 52.3,-3.6",Wales ," 52.3 , -3.6 "," 52.349602 , -3.637848","Wales 52.3,-3.6","[(52.5, -3.5)]",19.158372929813602
85,Netherlands,Netherlands,52.31,5.55,https://en.wikipedia.org/wiki/Netherlands,"Netherlands 52.31,5.55",Netherlands ," 52.31 , 5.55 "," 52.316666666667 , 5.55","Netherlands 52.31,5.55","[(52.25, 5.75), (52.25, 5.75), (52.25, 5.75), (52.25, 5.75), (52.25, 5.75), (52.25, 5.75)]",15.493389352730446
86,Fife,Fife,56.25,-3.2,https://en.wikipedia.org/wiki/Fife,"Fife 56.25,-3.2",Fife ," 56.25 , -3.2 "," 56.25 , -3.2","Fife 56.25,-3.2","[(56.33333, -3.0), (56.33333, -3.0), (56.33333, -3.0), (56.33333, -3.0)]",15.43303217861806
87,Romania,Romania,46,25,https://en.wikipedia.org/wiki/Romania,"Romania 46,25",Romania ," 46 , 25 "," 46.0 , 25.0","Romania 46,25","[(46.0, 25.0), (46.0, 25.0), (46.0, 25.0)]",0.0
89,Hohhot,Hohhot,40.81,111.65,https://en.wikipedia.org/wiki/Hohhot,"Hohhot 40.81,111.65",Hohhot ," 40.81 , 111.65 "," 40.81507 , 111.66293","Hohhot 40.81,111.65","[(40.81056, 111.65222)]",1.0314501169315484
90,Inner Mongolia,Inner Mongolia,44,113,https://en.wikipedia.org/wiki/Inner_Mongolia,"Inner Mongolia 44,113",Inner Mongolia ," 44 , 113 "," 40.815 , 111.66305555556","Inner Mongolia 44,113","[(43.5, 114.75)]",392.21976641309925
91,Moscow,Moscow,55.75,37.61,https://en.wikipedia.org/wiki/Moscow,"Moscow 55.75,37.61",Moscow ," 55.75 , 37.61 "," 55.755833333333 , 37.617777777778","Moscow 55.75,37.61","[(-22.83333, 143.61667), (14.29038, 121.00234), (55.76167, 37.60667), (55.76167, 37.60667)]",4143.714382830636
92,Ural Mountains,Ural Mountains,60,60,https://en.wikipedia.org/wiki/Ural_Mountains,"Ural Mountains 60,60",Ural Mountains ," 60 , 60 "," 60.0 , 60.0","Ural Mountains 60,60","[(60.0, 60.0)]",0.0
93,Danube Delta,Danube Delta,45.33,29.5,https://en.wikipedia.org/wiki/Danube_Delta,"Danube Delta 45.33,29.5",Danube Delta ," 45.33 , 29.5 "," 45.33 , 29.5","Danube Delta 45.33,29.5","[(45.5, 29.41667)]",19.99089703117928
94,Virginia,Virginia,37.5,-79,https://en.wikipedia.org/wiki/Virginia,"Virginia 37.5,-79",Virginia ," 37.5 , -79 "," 37.5 , -79.0","Virginia 37.5,-79","[(37.54812, -77.44675), (37.54812, -77.44675), (37.54812, -77.44675), (36.401, 28.22703), (17.81918, 121.54935)]",137.08177709837545
96,Alaska,Alaska,64,-150,https://en.wikipedia.org/wiki/Alaska,"Alaska 64,-150",Alaska ," 64 , -150 "," 64.0 , -150.0","Alaska 64,-150","[(64.00028, -150.00028), (64.00028, -150.00028)]",0.03399477937203573
97,Americas,Americas,19,-96,https://en.wikipedia.org/wiki/Americas,"Americas 19,-96",Americas ," 19 , -96 "," 19.0 , -96.0","Americas 19,-96","[(26.0173, -104.41406), (26.0173, -104.41406), (26.0173, -104.41406)]",1163.7454344668913
98,Pacific NorthWest,Pacific Northwest,45.99,-118.49,https://en.wikipedia.org/wiki/Pacific_Northwest,"Pacific Northwest 45.99,-118.49",Pacific Northwest ," 45.99 , -118.49 "," 45.8288 , -120.32227","Pacific Northwest 45.99,-118.49","[(45.99696, -118.49854)]",142.3216757483804
100,North America,North America,54.77,-105.64,https://en.wikipedia.org/wiki/North_America,"North America 54.77,-105.64",North America ," 54.77 , -105.64 "," 47.0 , -105.0","North America 54.77,-105.64","[(46.07323, -100.54688), (46.07323, -100.54688), (46.07323, -100.54688), (46.07323, -100.54688), (46.07323, -100.54688)]",355.8084870760401
101,Greece,Greece,39,22,https://en.wikipedia.org/wiki/Greece,"Greece 39,22",Greece ," 39 , 22 "," 38.5 , 23.0","Greece 39,22","[(39.0, 22.0), (39.0, 22.0), (39.0, 22.0)]",103.01025409144619
102,Bulgaria,Bulgaria,42.75,25.5,https://en.wikipedia.org/wiki/Bulgaria,"Bulgaria 42.75,25.5",Bulgaria ," 42.75 , 25.5 "," 42.75 , 25.5","Bulgaria 42.75,25.5","[(42.66667, 25.25), (42.66667, 25.25), (42.66667, 25.25), (42.66667, 25.25), (42.66667, 25.25)]",22.430282819239675
103,Italy,Italy,43,12,https://en.wikipedia.org/wiki/Italy,"Italy 43,12",Italy ," 43 , 12 "," 43.0 , 12.0","Italy 43,12","[(42.83333, 12.83333), (42.83333, 12.83333), (42.83333, 12.83333), (42.83333, 12.83333), (42.83333, 12.83333), (42.83333, 12.83333), (42.83333, 12.83333)]",70.34551356169513
104,Austria,Austria,47.33,13.33,https://en.wikipedia.org/wiki/Austria,"Austria 47.33,13.33",Austria ," 47.33 , 13.33 "," 48.0 , 14.0","Austria 47.33,13.33","[(47.33333, 13.33333), (47.33333, 13.33333)]",89.37248235113289
105,Germany,Germany,51,9,https://en.wikipedia.org/wiki/Germany,"Germany 51,9",Germany ," 51 , 9 "," 51.0 , 10.0","Germany 51,9","[(51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5), (51.5, 10.5)]",65.59012910628785
106,Slovenia,Slovenia,46.11,14.81,https://en.wikipedia.org/wiki/Slovenia,"Slovenia 46.11,14.81",Slovenia ," 46.11 , 14.81 "," 46.0 , 15.0","Slovenia 46.11,14.81","[(46.08333, 15.0), (46.08333, 15.0)]",9.265886326735966
107,Croatia,Croatia,45.16,15.5,https://en.wikipedia.org/wiki/Croatia,"Croatia 45.16,15.5",Croatia ," 45.16 , 15.5 "," 45.25 , 15.466667","Croatia 45.16,15.5","[(45.16667, 15.5), (45.16667, 15.5)]",9.626818592881031
108,Denmark,Denmark,56,10,https://en.wikipedia.org/wiki/Denmark,"Denmark 56,10",Denmark ," 56 , 10 "," 56.0 , 10.0","Denmark 56,10","[(56.0, 10.0), (56.0, 10.0), (56.0, 10.0), (56.0, 10.0)]",0.0
110,Ukraine,Ukraine,49,32,https://en.wikipedia.org/wiki/Ukraine,"Ukraine 49,32",Ukraine ," 49 , 32 "," 49.0 , 32.0","Ukraine 49,32","[(49.0, 32.0), (49.0, 32.0)]",0.0
111,Black Sea,Black Sea,44,35,https://en.wikipedia.org/wiki/Black_Sea,"Black Sea 44,35",Black Sea ," 44 , 35 "," 44.0 , 35.0","Black Sea 44,35","[(43.0, 35.0)]",111.19508372419111
112,Menoufia,Monufia Governorate,30.52,30.99,https://en.wikipedia.org/wiki/Monufia_Governorate,"Monufia Governorate 30.52,30.99",Monufia Governorate ," 30.52 , 30.99 "," 30.52 , 30.99","Monufia Governorate 30.52,30.99","[(None, None)]",
113,Daqahliya,Dakahlia Governorate,31.05,31.38,https://en.wikipedia.org/wiki/Dakahlia_Governorate,"Dakahlia Governorate 31.05,31.38",Dakahlia Governorate ," 31.05 , 31.38 "," 31.05 , 31.3833","Dakahlia Governorate 31.05,31.38","[(31.1, 31.6)]",21.373780497381578
114,Beni Suef,Beni Suef,29.06,31.08,https://en.wikipedia.org/wiki/Beni_Suef,"Beni Suef 29.06,31.08",Beni Suef ," 29.06 , 31.08 "," 29.066666666667 , 31.083333333333","Beni Suef 29.06,31.08","[(28.9, 30.6)]",50.53421727563888
115,North Korea,North Korea,40,127,https://en.wikipedia.org/wiki/North_Korea,"North Korea 40,127",North Korea ," 40 , 127 "," 40.0 , 127.0","North Korea 40,127","[(40.0, 127.0), (40.0, 127.0)]",0.0
116,Pyongyang,Pyongyang,39.01,125.73,https://en.wikipedia.org/wiki/Pyongyang,"Pyongyang 39.01,125.73",Pyongyang ," 39.01 , 125.73 "," 39.03 , 125.73","Pyongyang 39.01,125.73","[(39.03385, 125.75432)]",2.1438379676730706
117,India,India,21,78,https://en.wikipedia.org/wiki/India,"India 21,78",India ," 21 , 78 "," 22.0 , 77.0","India 21,78","[(22.20775, 76.97021), (2.18333, 33.68333), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021), (22.20775, 76.97021)]",23.30375473663261
118,Maharashtra,Maharashtra,18.97,72.82,https://en.wikipedia.org/wiki/Maharashtra,"Maharashtra 18.97,72.82",Maharashtra ," 18.97 , 72.82 "," 19.56 , 76.42","Maharashtra 18.97,72.82",[],
119,Mumbai,Mumbai,18.97,72.82,https://en.wikipedia.org/wiki/Mumbai,"Mumbai 18.97,72.82",Mumbai ," 18.97 , 72.82 "," 18.966666666667 , 72.833333333333","Mumbai 18.97,72.82","[(19.07283, 72.88261), (19.07283, 72.88261)]",12.891415255433557
120,Greater Mumbai,Mumbai,18.97,72.82,https://en.wikipedia.org/wiki/Mumbai,"Mumbai 18.97,72.82",Mumbai ," 18.97 , 72.82 "," 18.966666666667 , 72.833333333333","Mumbai 18.97,72.82",[],
121,Nandurbar,Nandurbar,21.37,74.25,https://en.wikipedia.org/wiki/Nandurbar,"Nandurbar 21.37,74.25",Nandurbar ," 21.37 , 74.25 "," 21.37 , 74.25","Nandurbar 21.37,74.25","[(21.37, 74.2)]",5.177502924084369
122,Dhule,Dhule,20.89,74.76,https://en.wikipedia.org/wiki/Dhule,"Dhule 20.89,74.76",Dhule ," 20.89 , 74.76 "," 20.9 , 74.783333333333","Dhule 20.89,74.76","[(21.41667, 74.5)]",64.52824051845018
123,Iraq,Iraq,33,44,https://en.wikipedia.org/wiki/Iraq,"Iraq 33,44",Iraq ," 33 , 44 "," 33.0 , 43.0","Iraq 33,44","[(33.0, 44.0), (33.0, 44.0), (33.0, 44.0), (33.0, 44.0), (33.0, 44.0), (33.0, 44.0), (33.0, 44.0), (33.0, 44.0), (33.0, 44.0)]",93.25569290677386
124,Ranya,Ranya,36.25,44.88,https://en.wikipedia.org/wiki/Ranya,"Ranya 36.25,44.88",Ranya ," 36.25 , 44.88 "," 36.255 , 44.882222222222","Ranya 36.25,44.88","[(36.2571, 44.88275)]",0.2382567732532827
125,Turkey,Turkey,39,35,https://en.wikipedia.org/wiki/Turkey,"Turkey 39,35",Turkey ," 39 , 35 "," 39.0 , 36.0","Turkey 39,35","[(39.0, 35.0), (39.0, 35.0), (39.0, 35.0), (39.0, 35.0), (39.0, 35.0), (34.39256, -100.89764), (34.39256, -100.89764), (39.0, 35.0), (39.0, 35.0), (39.0, 35.0), (39.0, 35.0), (39.1084, -83.4488)]",86.4143758573266
126,Rotterdam,Rotterdam,51.91,4.5,https://en.wikipedia.org/wiki/Rotterdam,"Rotterdam 51.91,4.5",Rotterdam ," 51.91 , 4.5 "," 51.9225 , 4.47917","Rotterdam 51.91,4.5","[(51.88246, 4.28784)]",13.861179098990803
127,Lelystad,Lelystad,52.5,5.48,https://en.wikipedia.org/wiki/Lelystad,"Lelystad 52.5,5.48",Lelystad ," 52.5 , 5.48 "," 52.516666666667 , 5.4833333333333","Lelystad 52.5,5.48",[],
128,Poland,Poland,52,20,https://en.wikipedia.org/wiki/Poland,"Poland 52,20",Poland ," 52 , 20 "," 52.0 , 19.0","Poland 52,20","[(52.0, 20.0), (52.0, 20.0), (52.0, 20.0), (52.0, 20.0), (52.0, 20.0)]",68.45798973510726
129,Toruń,Toru%C5%84,53.03,18.61,https://en.wikipedia.org/wiki/Toru%C5%84,"Toru%C5%84 53.03,18.61",Toru%C5%84 ," 53.03 , 18.61 "," 53.016666666667 , 18.616666666667","Toru%C5%84 53.03,18.61","[(53.01375, 18.59814)]",1.2810790349233052
130,Pulawy,Pu%C5%82awy,51.41,21.96,https://en.wikipedia.org/wiki/Pu%C5%82awy,"Pu%C5%82awy 51.41,21.96",Pu%C5%82awy ," 51.41 , 21.96 "," 51.41655 , 21.96939","Pu%C5%82awy 51.41,21.96","[(51.41655, 21.96939)]",0.0
131,Lyon,Lyon,45.76,4.84,https://en.wikipedia.org/wiki/Lyon,"Lyon 45.76,4.84",Lyon ," 45.76 , 4.84 "," 45.758888888889 , 4.8413888888889","Lyon 45.76,4.84","[(45.75889, 4.84139)]",0.00015064785754330035
132,France,France,47,2,https://en.wikipedia.org/wiki/France,"France 47,2",France ," 47 , 2 "," 47.0 , 2.0","France 47,2","[(46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (46.0, 2.0), (25.26367, 55.31255)]",111.19508372419111
134,Cellardyke,Cellardyke,56.21,-2.7,https://en.wikipedia.org/wiki/Cellardyke,"Cellardyke 56.21,-2.7",Cellardyke ," 56.21 , -2.7 "," 56.2167 , -2.7","Cellardyke 56.21,-2.7","[(56.22411, -2.69054), (56.22411, -2.69054)]",1.0104270942745663
135,Scotland,Scotland,56,-4,https://en.wikipedia.org/wiki/Scotland,"Scotland 56,-4",Scotland ," 56 , -4 "," 57.0 , -5.0","Scotland 56,-4","[(56.0, -4.0), (56.0, -4.0), (43.0168, -80.36637), (56.0, -4.0), (56.0, -4.0), (56.0, -4.0)]",127.00447055839162
137,Karo,Karo Regency,3.1,98.5,https://en.wikipedia.org/wiki/Karo_Regency,"Karo Regency 3.1,98.5",Karo Regency ," 3.1 , 98.5 "," 3.11667 , 98.3","Karo Regency 3.1,98.5","[(4.3544, 96.018)]",288.1902887397254
138,Medan,Medan,3.58,98.66,https://en.wikipedia.org/wiki/Medan,"Medan 3.58,98.66",Medan ," 3.58 , 98.66 "," 3.6666666666667 , 98.666666666667","Medan 3.58,98.66","[(3.58333, 98.66667)]",9.266627634681768
139,Anhui,Anhui,31.83,117,https://en.wikipedia.org/wiki/Anhui,"Anhui 31.83,117",Anhui ," 31.83 , 117 "," 31.833333333333 , 117.0","Anhui 31.83,117","[(31.91667, 117.16667), (31.91667, 117.16667), (31.91667, 117.16667)]",18.263627946545018
140,Hunan,Hunan,27.4,111.8,https://en.wikipedia.org/wiki/Hunan,"Hunan 27.4,111.8",Hunan ," 27.4 , 111.8 "," 27.4 , 111.8","Hunan 27.4,111.8","[(27.66667, 111.75), (27.66667, 111.75)]",30.059439402821987
141,Liaoning,Liaoning,41.1,122.3,https://en.wikipedia.org/wiki/Liaoning,"Liaoning 41.1,122.3",Liaoning ," 41.1 , 122.3 "," 41.803888888889 , 123.42583333333","Liaoning 41.1,122.3","[(41.25, 122.66667)]",88.24408950695342
142,Saxony-Anhalt,Saxony-Anhalt,51.97,11.47,https://en.wikipedia.org/wiki/Saxony-Anhalt,"Saxony-Anhalt 51.97,11.47",Saxony-Anhalt ," 51.97 , 11.47 "," 51.971111111111 , 11.47","Saxony-Anhalt 51.97,11.47","[(52.0, 11.7333)]",18.314844316043427
143,Thuringia,Thuringia,50.86,11.05,https://en.wikipedia.org/wiki/Thuringia,"Thuringia 50.86,11.05",Thuringia ," 50.86 , 11.05 "," 51.0 , 11.0","Thuringia 50.86,11.05","[(50.91667, 11.0)]",9.265886326736673
144,Assenoncourt,Assenoncourt,48.77,6.79,https://en.wikipedia.org/wiki/Assenoncourt,"Assenoncourt 48.77,6.79",Assenoncourt ," 48.77 , 6.79 "," 48.771388888889 , 6.7958333333333","Assenoncourt 48.77,6.79",[],
145,Ciocile,Ciocile,44.81,27.23,https://en.wikipedia.org/wiki/Ciocile,"Ciocile 44.81,27.23",Ciocile ," 44.81 , 27.23 "," 44.81666667 , 27.23333333","Ciocile 44.81,27.23","[(44.81667, 27.23333)]",0.0004539815083593922
146,Brăila,Br%C4%83ila County,45.11,27.68,https://en.wikipedia.org/wiki/Br%C4%83ila_County,"Br%C4%83ila County 45.11,27.68",Br%C4%83ila County ," 45.11 , 27.68 "," 45.11 , 27.68","Br%C4%83ila County 45.11,27.68",[],
147,Bumbacari,"Dude%C8%99ti, Br%C4%83ila",44.88,27.44,"https://en.wikipedia.org/wiki/Dude%C8%99ti,_Br%C4%83ila","Dude%C8%99ti, Br%C4%83ila 44.88,27.44","Dude%C8%99ti, Br%C4%83ila "," 44.88 , 27.44 "," 44.885522 , 27.446402","Dude%C8%99ti, Br%C4%83ila 44.88,27.44",[],
148,Dudescu,"Dude%C8%99ti, Br%C4%83ila",44.88,27.44,"https://en.wikipedia.org/wiki/Dude%C8%99ti,_Br%C4%83ila","Dude%C8%99ti, Br%C4%83ila 44.88,27.44","Dude%C8%99ti, Br%C4%83ila "," 44.88 , 27.44 "," 44.885522 , 27.446402","Dude%C8%99ti, Br%C4%83ila 44.88,27.44",[],
149,Ceamurlia de Jos,Ceamurlia de Jos,44.73,28.71,https://en.wikipedia.org/wiki/Ceamurlia_de_Jos,"Ceamurlia de Jos 44.73,28.71",Ceamurlia de Jos ," 44.73 , 28.71 "," 44.77425 , 28.76678","Ceamurlia de Jos 44.73,28.71","[(44.73333, 28.71667)]",6.02995501464178
150,Maliuc,Maliuc,45.16,29.08,https://en.wikipedia.org/wiki/Maliuc,"Maliuc 45.16,29.08",Maliuc ," 45.16 , 29.08 "," 45.175284 , 29.076588","Maliuc 45.16,29.08","[(45.17678, 29.11334)]",2.88559907693808
151,Caraorman,"Cri%C8%99an, Tulcea",45.1,29.3,"https://en.wikipedia.org/wiki/Cri%C8%99an,_Tulcea","Cri%C8%99an, Tulcea 45.1,29.3","Cri%C8%99an, Tulcea "," 45.1 , 29.3 "," 45.1800517 , 29.3514512","Cri%C8%99an, Tulcea 45.1,29.3",[],
152,Crimea,Crimea,45.3,34.4,https://en.wikipedia.org/wiki/Crimea,"Crimea 45.3,34.4",Crimea ," 45.3 , 34.4 "," 44.933347222222 , 34.099927777778","Crimea 45.3,34.4","[(45.0, 34.0)]",10.804351112483998
153,Michigan,Michigan,44,-85,https://en.wikipedia.org/wiki/Michigan,"Michigan 44,-85",Michigan ," 44 , -85 "," 44.34 , -85.58","Michigan 44,-85","[(44.25029, -85.50033), (44.25029, -85.50033), (44.25029, -85.50033), (44.25029, -85.50033), (44.25029, -85.50033)]",11.819996973171646
154,Lake Erie,Lake Erie,42.2,-81.2,https://en.wikipedia.org/wiki/Lake_Erie,"Lake Erie 42.2,-81.2",Lake Erie ," 42.2 , -81.2 "," 42.2 , -81.2","Lake Erie 42.2,-81.2","[(-34.76717, 117.64351)]",18184.024767546303
155,Mouillee,Pointe Mouillee State Game Area,42,-83.19,https://en.wikipedia.org/wiki/Pointe_Mouillee_State_Game_Area,"Pointe Mouillee State Game Area 42,-83.19",Pointe Mouillee State Game Area ," 42 , -83.19 "," 42.0042 , -83.1942","Pointe Mouillee State Game Area 42,-83.19",[],
156,Monroe County,"Monroe County, Michigan",41.92,-83.5,"https://en.wikipedia.org/wiki/Monroe_County,_Michigan","Monroe County, Michigan 41.92,-83.5","Monroe County, Michigan "," 41.92 , -83.5 "," 41.92 , -83.5","Monroe County, Michigan 41.92,-83.5","[(43.16512, -77.63626)]",499.8205876802994
157,Ames,"Ames, Iowa",42.03,-93.62,"https://en.wikipedia.org/wiki/Ames,_Iowa","Ames, Iowa 42.03,-93.62","Ames, Iowa "," 42.03 , -93.62 "," 42.034722222222 , -93.62","Ames, Iowa 42.03,-93.62","[(42.03471, -93.61994), (50.54167, 2.41556), (42.03471, -93.61994), (42.03471, -93.61994)]",0.005138325275126201
158,Iowa,Iowa,42,-93,https://en.wikipedia.org/wiki/Iowa,"Iowa 42,-93",Iowa ," 42 , -93 "," 42.0 , -93.0","Iowa 42,-93","[(42.00027, -93.50049), (42.00027, -93.50049), (42.00027, -93.50049), (42.00027, -93.50049), (42.00027, -93.50049)]",41.357380512353664
159,Dresden,Dresden,51.03,13.73,https://en.wikipedia.org/wiki/Dresden,"Dresden 51.03,13.73",Dresden ," 51.03 , 13.73 "," 51.049258333333 , 13.738361111111","Dresden 51.03,13.73","[(51.16667, 14.08333), (51.16667, 14.08333)]",27.394804520019193
162,Fulton County,"Fulton County, Illinois",40.48,-90.21,"https://en.wikipedia.org/wiki/Fulton_County,_Illinois","Fulton County, Illinois 40.48,-90.21","Fulton County, Illinois "," 40.48 , -90.21 "," 40.48 , -90.21","Fulton County, Illinois 40.48,-90.21","[(33.79025, -84.46702)]",900.9074778159932
163,Illinois,Illinois,40,-89,https://en.wikipedia.org/wiki/Illinois,"Illinois 40,-89",Illinois ," 40 , -89 "," 40.0 , -89.0","Illinois 40,-89","[(40.00032, -89.25037), (40.00032, -89.25037), (40.00032, -89.25037), (40.00032, -89.25037), (40.00032, -89.25037), (40.00032, -89.25037)]",21.326583436574893
164,Buffalo,"Buffalo, New York",42.90,-78.84,"https://en.wikipedia.org/wiki/Buffalo,_New_York","Buffalo, New York 42.90,-78.84","Buffalo, New York "," 42.90 , -78.84 "," 42.904722222222 , -78.849444444444","Buffalo, New York 42.90,-78.84","[(42.88645, -78.87837), (42.88645, -78.87837), (42.88645, -78.87837), (42.88645, -78.87837), (42.88645, -78.87837), (42.88645, -78.87837), (42.88645, -78.87837)]",3.111319121640274
165,New York,New York (state),43,-75,https://en.wikipedia.org/wiki/New_York_(state),"New York (state) 43,-75",New York (state) ," 43 , -75 "," 43.0 , -75.0","New York (state) 43,-75","[(43.00035, -75.4999), (43.00035, -75.4999), (43.00035, -75.4999), (43.00035, -75.4999), (43.00035, -75.4999), (35.05865, -107.52727), (43.00035, -75.4999), (43.00035, -75.4999), (47.57621, -122.40985), (40.61523, -111.48964), (43.00035, -75.4999), (43.00035, -75.4999), (43.00035, -75.4999)]",40.65317861164739
166,NY,New York (state),43,-75,https://en.wikipedia.org/wiki/New_York_(state),"New York (state) 43,-75",New York (state) ," 43 , -75 "," 43.0 , -75.0","New York (state) 43,-75",[],
167,Mexico,Mexico,23,-102,https://en.wikipedia.org/wiki/Mexico,"Mexico 23,-102",Mexico ," 23 , -102 "," 23.316667 , -102.366667","Mexico 23,-102","[(23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (15.11667, 120.68333), (15.11667, 120.68333), (15.11667, 120.68333), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0), (23.0, -102.0)]",51.43039139395415
168,Mexico City,Mexico City,19.43,-99.13,https://en.wikipedia.org/wiki/Mexico_City,"Mexico City 19.43,-99.13",Mexico City ," 19.43 , -99.13 "," 19.419444444444 , -99.145555555556","Mexico City 19.43,-99.13","[(19.42847, -99.12766), (19.42847, -99.12766), (19.42847, -99.12766), (19.42847, -99.12766), (19.42847, -99.12766)]",2.128141444996273
169,New Zealand,New Zealand,-42,174,https://en.wikipedia.org/wiki/New_Zealand,"New Zealand -42,174",New Zealand ," -42 , 174 "," -42.0 , 174.0","New Zealand -42,174","[(-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0), (-42.0, 174.0)]",0.0
